,be'däude ,signifier,"to mean, to signify",bedeuten
,bede/bad/beden,"demander, prier","beg, ask",bitten
,be'denklig,douteux,dubious,bedenklich
,be'drahe/druh/drahen,tromper,to deceive,betrügen
,be'durve ,"avoir besoin de (présent: be'darf, prétérit et participe passé: be'durft)","to need (present: be'darf, preterite and past participle: be'durft)","brauchen, benötigen (Präsens: be'darf, Präteritum und Partizip II: be'durft)"
,be'fele/be'fal/be'folen ,donner un ordre,"to command, to give an order",befehlen
,be'finde sy/fand/funden ,se trouver,to be located,sich befinden
,be'for ,avant que,before,bevor
,be'fordre,promouvoir,to promote,befördern
,be'gave met,doter/douer de,to endow with,mit etw. begabt machen
,be'ginne/be'gann/be'gonnen ,commencer,to begin,"beginnen, anfangen"
,be'go/gik/gon,commettre,to commit (a crime),begehen
,be'grense,limiter,to limit,begrenzen
,be'holde/be'held/be'holden,garder,to keep,behalten
,be'jahe,affirmer,"to affirm, assert","behaupten, bejahen"
,be'kvem,confortable,comfortable,bequem
,be'reid,prêt,ready,bereit
,be'römd,célèbre,famous,berühmt
,be'scheiden,modeste,modest,bescheiden
,be'sete ,occuper,occupy,besetzen
,be'ständig,constant,constant,beständig
,be'sto av,consister en,to consist of,bestehen (aus etw.)
,be'tale ,payer,to pay,bezahlen
,be'trahte ,contempler,to contemplate,betrachten
,be'waapne ,armer,to arm,bewaffnen
,be'wist,conscient,conscious,bewusst
dat,be'wys ,preuve,"proof, evidence",Beweis
den,beck,ruisseau,brook,Bach
dat,bed ,lit,bed,Bett
,be'grave/grov/graven,enterrer,to bury,begraben
,behöre tu ,appartenir à,to belong to,gehören zu
,bekennd ,"connu, célèbre","known, famous, familiar",bekannt
,Belgjen ,Belgique,Belgium,Belgien
dat,belt ,ceinture,belt,Gürtel
dat,ben ,jambe,leg,Bein
den,berd,barbe,beard,Bart
dat,bere,baie (fruit),berry,Beere
,bere/bar/boren ,porter (y compris vêtements),"to bear, to carry, to wear (clothes)",tragen
den,berg ,"mont, montagne",mountain,Berg
,bert,"brillant, lumineux",bright,"glänzend, hell"
,beschryve/schriv/schriven,décrire,to describe,décrire
,beslute ,décider,decide,"beschließen, entscheiden"
,best ,le meilleur,best,beste
den,bestand ,"effectif, population","stock, population",Bestand
,bestemme ,déterminer,to determine,bestimmen
,bestryde/strid/striden,contester,to contest,bestreiten
den,be'tong,béton,concrete (noun),Beton
,better ,"meilleur, mieux",better,besser
,bewundre,admirer,to admire,bewundern
den,Bibel,Bible,Bible,Bibel
den,bie ,abeille,bee,Biene
,biede/bod/boden ,"offrir, proposer","to offer, to provide","bieten, anbieten"
den,biefsteck,bifteck,beefsteak,Beefsteak
dat,bier ,bière,beer,Bier
dat,bild ,image,image,Bild
,billig,bon marché,cheap,billig
,binde/band/bunden,lier,to bind,binden
den,bischop,évêque,bishop,Bischof
,bitter ,amer,bitter,bitter
den,biver,"castor, bièvre",beaver,Biber
dat,blad ,feuille,"leaf, sheet (of paper)",Blatt
,blase/bles/blasen ,souffler,to blow,blasen
,blau ,bleu,blue,blau
dat,blaubere,myrtille,blueberry,Heidelbeere
,blek ,pâle,pale,blass
,blende,"aveugler, éblouir",to blind,blenden
